;name;indicator;indicator2;year;value;region
0;Argentina;gini;GINI index;1979;;Americas
1;Armenia;gini;GINI index;1979;;Asia
2;Azerbaijan;gini;GINI index;1979;;Asia
3;Benin;gini;GINI index;1979;;Africa
4;Bhutan;gini;GINI index;1979;;Asia
5;Bosnia and Herzegovina;gini;GINI index;1979;;Europe
6;Botswana;gini;GINI index;1979;;Africa
7;Brazil;gini;GINI index;1979;60.0;Americas
8;Bulgaria;gini;GINI index;1979;25.799999237060547;Europe
9;Burundi;gini;GINI index;1979;;Africa
10;Cambodia;gini;GINI index;1979;;Asia
11;Cameroon;gini;GINI index;1979;;Africa
12;Canada;gini;GINI index;1979;31.0;Americas
13;Cape Verde;gini;GINI index;1979;;
14;Central African Rep.;gini;GINI index;1979;;Africa
15;Chile;gini;GINI index;1979;;Americas
16;China;gini;GINI index;1979;;Asia
17;Colombia;gini;GINI index;1979;;Americas
18;Comoros;gini;GINI index;1979;;Africa
19;Congo Dem. Rep.;gini;GINI index;1979;;
20;Cote d'Ivoire;gini;GINI index;1979;;
21;Croatia;gini;GINI index;1979;;Europe
22;Czech Republic;gini;GINI index;1979;;Europe
23;Denmark;gini;GINI index;1979;40.599998474121094;Europe
24;Djibouti;gini;GINI index;1979;;Africa
25;Dominican Rep.;gini;GINI index;1979;;Americas
26;Ecuador;gini;GINI index;1979;;Americas
27;El Salvador;gini;GINI index;1979;;Americas
28;Estonia;gini;GINI index;1979;;Europe
29;Finland;gini;GINI index;1979;31.100000381469727;Europe
30;France;gini;GINI index;1979;33.099998474121094;Europe
31;Ghana;gini;GINI index;1979;;Africa
32;Greece;gini;GINI index;1979;;Europe
33;Guatemala;gini;GINI index;1979;40.70000076293945;Americas
34;Guinea;gini;GINI index;1979;;Africa
35;Guyana;gini;GINI index;1979;;Americas
36;Haiti;gini;GINI index;1979;;Americas
37;Honduras;gini;GINI index;1979;;Americas
38;India;gini;GINI index;1979;;Asia
39;Indonesia;gini;GINI index;1979;;Asia
40;Ireland;gini;GINI index;1979;;Europe
41;Israel;gini;GINI index;1979;36.29999923706055;Asia
42;Jamaica;gini;GINI index;1979;;Americas
43;Jordan;gini;GINI index;1979;;Asia
44;Kazakhstan;gini;GINI index;1979;;Asia
45;Kenya;gini;GINI index;1979;;Africa
46;Lesotho;gini;GINI index;1979;;Africa
47;Liberia;gini;GINI index;1979;;Africa
48;Macedonia;gini;GINI index;1979;;
49;Madagascar;gini;GINI index;1979;;Africa
50;Malawi;gini;GINI index;1979;;Africa
51;Mauritania;gini;GINI index;1979;;Africa
52;Mexico;gini;GINI index;1979;;Americas
53;Moldova;gini;GINI index;1979;;
54;Mongolia;gini;GINI index;1979;;Asia
55;Morocco;gini;GINI index;1979;;Africa
56;Namibia;gini;GINI index;1979;;Africa
57;Niger;gini;GINI index;1979;;Africa
58;Norway;gini;GINI index;1979;26.799999237060547;Europe
59;Pakistan;gini;GINI index;1979;32.29999923706055;Asia
60;Panama;gini;GINI index;1979;48.74;Americas
61;Papua New Guinea;gini;GINI index;1979;;Oceania
62;Philippines;gini;GINI index;1979;;Asia
63;Poland;gini;GINI index;1979;24.5;Europe
64;Portugal;gini;GINI index;1979;;Europe
65;Russia;gini;GINI index;1979;;Europe
66;Rwanda;gini;GINI index;1979;;Africa
67;Saint Lucia;gini;GINI index;1979;;Americas
68;Senegal;gini;GINI index;1979;;Africa
69;Sierra Leone;gini;GINI index;1979;;Africa
70;Slovak Republic;gini;GINI index;1979;;
71;Slovenia;gini;GINI index;1979;;Europe
72;South Africa;gini;GINI index;1979;;Africa
73;Spain;gini;GINI index;1979;;Europe
74;Suriname;gini;GINI index;1979;;Americas
75;Swaziland;gini;GINI index;1979;;Africa
76;Sweden;gini;GINI index;1979;;Europe
77;Thailand;gini;GINI index;1979;;Asia
78;Timor-Leste;gini;GINI index;1979;;Asia
79;Togo;gini;GINI index;1979;;Africa
80;Tunisia;gini;GINI index;1979;;Africa
81;Turkey;gini;GINI index;1979;;Asia
82;Ukraine;gini;GINI index;1979;;Europe
83;United Kingdom;gini;GINI index;1979;28.200000762939453;
84;Uruguay;gini;GINI index;1979;;Americas
85;Uzbekistan;gini;GINI index;1979;;Asia
86;Venezuela;gini;GINI index;1979;39.400001525878906;
87;Vietnam;gini;GINI index;1979;;
88;Yemen Rep.;gini;GINI index;1979;;
89;Zambia;gini;GINI index;1979;;Africa
90;Angola;gini;GINI index;1980;;Africa
91;Argentina;gini;GINI index;1980;39.29999923706055;Americas
92;Australia;gini;GINI index;1980;;Oceania
93;Azerbaijan;gini;GINI index;1980;;Asia
94;Belarus;gini;GINI index;1980;;Europe
95;Belgium;gini;GINI index;1980;;Europe
96;Bhutan;gini;GINI index;1980;;Asia
97;Bolivia;gini;GINI index;1980;;
98;Botswana;gini;GINI index;1980;;Africa
99;Bulgaria;gini;GINI index;1980;25.0;Europe
100;Burkina Faso;gini;GINI index;1980;;Africa
101;Cambodia;gini;GINI index;1980;;Asia
102;Canada;gini;GINI index;1980;;Americas
103;Cape Verde;gini;GINI index;1980;;
104;Central African Rep.;gini;GINI index;1980;;Africa
105;Congo Rep.;gini;GINI index;1980;;
106;Cote d'Ivoire;gini;GINI index;1980;;
107;Czech Republic;gini;GINI index;1980;;Europe
108;Denmark;gini;GINI index;1980;41.29999923706055;Europe
109;Djibouti;gini;GINI index;1980;;Africa
110;Dominican Rep.;gini;GINI index;1980;;Americas
111;Ecuador;gini;GINI index;1980;;Americas
112;Egypt;gini;GINI index;1980;;Africa
113;Estonia;gini;GINI index;1980;;Europe
114;Ethiopia;gini;GINI index;1980;;Africa
115;Finland;gini;GINI index;1980;30.899999618530273;Europe
116;Gambia;gini;GINI index;1980;;Africa
117;Georgia;gini;GINI index;1980;;Asia
