,Unnamed: 0,name,indicator,indicator2,year,value,predicted
0,0,Albania,gini,GINI index,1978,29.12,False
1,1,Algeria,gini,GINI index,1978,40.14,False
2,2,Angola,gini,GINI index,1978,40.20000076293945,False
3,3,Argentina,gini,GINI index,1978,39.29999923706055,False
4,4,Armenia,gini,GINI index,1978,26.899999618530273,False
5,5,Australia,gini,GINI index,1978,38.099998474121094,False
6,6,Austria,gini,GINI index,1978,23.0,False
7,7,Bangladesh,gini,GINI index,1978,35.20000076293945,False
8,8,Belarus,gini,GINI index,1978,22.76,False
9,9,Belgium,gini,GINI index,1978,28.29999923706055,False
10,10,Benin,gini,GINI index,1978,38.62,False
11,11,Bolivia,gini,GINI index,1978,46.099998474121094,False
12,12,Botswana,gini,GINI index,1978,54.21,False
13,13,Brazil,gini,GINI index,1978,56.0,False
14,14,Bulgaria,gini,GINI index,1978,26.0,False
15,15,Burkina Faso,gini,GINI index,1978,50.71,False
16,16,Cambodia,gini,GINI index,1978,38.28,False
17,17,Cameroon,gini,GINI index,1978,49.0,False
18,18,Canada,gini,GINI index,1978,31.0,False
19,19,Chad,gini,GINI index,1978,39.5,False
20,20,Chile,gini,GINI index,1978,53.20000076293945,False
21,21,China,gini,GINI index,1978,31.70000076293945,False
22,22,Colombia,gini,GINI index,1978,54.70000076293945,False
23,23,Costa Rica,gini,GINI index,1978,45.0,False
24,24,Cote d'Ivoire,gini,GINI index,1978,41.21,False
25,25,Croatia,gini,GINI index,1978,22.78,False
26,26,Denmark,gini,GINI index,1978,40.099998474121094,False
27,27,Djibouti,gini,GINI index,1978,39.0,False
28,28,Ecuador,gini,GINI index,1978,50.49,False
29,29,El Salvador,gini,GINI index,1978,48.96,False
30,30,Estonia,gini,GINI index,1978,22.97,False
31,31,Ethiopia,gini,GINI index,1978,32.42,False
32,32,Fiji,gini,GINI index,1978,46.79999923706055,False
33,33,Finland,gini,GINI index,1978,30.399999618530273,False
34,34,France,gini,GINI index,1978,33.09999847412109,False
35,35,Gabon,gini,GINI index,1978,41.45,False
36,36,Ghana,gini,GINI index,1978,35.35,False
37,37,Greece,gini,GINI index,1978,33.299999237060554,False
38,38,Guatemala,gini,GINI index,1978,40.70000076293945,False
39,39,Guinea,gini,GINI index,1978,47.15,False
40,40,Guinea-Bissau,gini,GINI index,1978,56.16,False
41,41,Guyana,gini,GINI index,1978,51.9000015258789,False
42,42,Haiti,gini,GINI index,1978,59.5,False
43,43,Hungary,gini,GINI index,1978,21.0,False
44,44,India,gini,GINI index,1978,35.09999847412109,False
45,45,Ireland,gini,GINI index,1978,36.0,False
46,46,Israel,gini,GINI index,1978,36.29999923706055,False
47,47,Italy,gini,GINI index,1978,32.900001525878906,False
48,48,Jamaica,gini,GINI index,1978,43.16,False
49,49,Japan,gini,GINI index,1978,32.900001525878906,False
50,50,Jordan,gini,GINI index,1978,40.79999923706055,False
51,51,Kazakhstan,gini,GINI index,1978,25.74,False
52,52,Kuwait,gini,GINI index,1978,,False
53,53,Latvia,gini,GINI index,1978,22.49,False
54,54,Lesotho,gini,GINI index,1978,61.0,False
55,55,Lithuania,gini,GINI index,1978,22.48,False
56,56,Luxembourg,gini,GINI index,1978,26.79999923706055,False
57,57,Madagascar,gini,GINI index,1978,46.85,False
58,58,Malawi,gini,GINI index,1978,62.0,False
59,59,Malaysia,gini,GINI index,1978,51.0,False
60,60,Mali,gini,GINI index,1978,50.56,False
61,61,Mauritania,gini,GINI index,1978,43.94,False
62,62,Mauritius,gini,GINI index,1978,45.70000076293945,False
63,63,Mexico,gini,GINI index,1978,46.26,False
64,64,Moldova,gini,GINI index,1978,24.14,False
65,65,Mongolia,gini,GINI index,1978,33.2,False
66,66,Morocco,gini,GINI index,1978,39.19,False
67,67,Mozambique,gini,GINI index,1978,44.5,False
68,68,Nepal,gini,GINI index,1978,30.10000038146973,False
69,69,Netherlands,gini,GINI index,1978,28.10000038146973,False
70,70,New Zealand,gini,GINI index,1978,31.899999618530273,False
71,71,Nicaragua,gini,GINI index,1978,56.38,False
72,72,Niger,gini,GINI index,1978,36.1,False
73,73,Nigeria,gini,GINI index,1978,35.20000076293945,False
74,74,Norway,gini,GINI index,1978,26.79999923706055,False
75,75,Pakistan,gini,GINI index,1978,32.299999237060554,False
76,76,Panama,gini,GINI index,1978,48.74,False
77,77,Papua New Guinea,gini,GINI index,1978,32.59999847412109,False
78,78,Paraguay,gini,GINI index,1978,39.74,False
79,79,Peru,gini,GINI index,1978,49.29999923706055,False
80,80,Philippines,gini,GINI index,1978,41.04,False
81,81,Poland,gini,GINI index,1978,24.399999618530273,False
82,82,Portugal,gini,GINI index,1978,36.79999923706055,False
83,83,Puerto Rico,gini,GINI index,1978,50.20000076293945,False
84,84,Romania,gini,GINI index,1978,23.31,False
85,85,Rwanda,gini,GINI index,1978,28.899999618530273,False
86,86,Saudi Arabia,gini,GINI index,1978,,False
87,87,Senegal,gini,GINI index,1978,54.14,False
88,88,Seychelles,gini,GINI index,1978,46.0,False
89,89,Sierra Leone,gini,GINI index,1978,62.9000015258789,False
90,90,Singapore,gini,GINI index,1978,38.20000076293945,False
91,91,Slovak Republic,gini,GINI index,1978,19.54,False
92,92,Slovenia,gini,GINI index,1978,23.6,False
93,93,South Africa,gini,GINI index,1978,63.0,False
94,94,Spain,gini,GINI index,1978,34.5,False
95,95,Sri Lanka,gini,GINI index,1978,43.5,False
96,96,Sudan,gini,GINI index,1978,,False
97,97,Sweden,gini,GINI index,1978,32.400001525878906,False
98,98,Switzerland,gini,GINI index,1978,35.70000076293945,False
99,99,Tanzania,gini,GINI index,1978,59.0,False
100,100,Thailand,gini,GINI index,1978,45.22,False
101,101,Togo,gini,GINI index,1978,34.41,False
102,102,Tunisia,gini,GINI index,1978,43.0,False
103,103,Turkey,gini,GINI index,1978,43.57,False
104,104,Turkmenistan,gini,GINI index,1978,26.17,False
105,105,Uganda,gini,GINI index,1978,44.36,False
106,106,Ukraine,gini,GINI index,1978,23.31,False
107,107,United Kingdom,gini,GINI index,1978,27.29999923706055,False
108,108,United States,gini,GINI index,1978,40.20000076293945,False
109,109,Uruguay,gini,GINI index,1978,43.70000076293945,False
110,110,Uzbekistan,gini,GINI index,1978,24.95,False
111,111,Vietnam,gini,GINI index,1978,35.70000076293945,False
112,112,Zambia,gini,GINI index,1978,60.46,False
