,name,indicator,indicator2,year,value
0,Afghanistan,gini,GINI index,1978,
1,Albania,gini,GINI index,1978,
2,Algeria,gini,GINI index,1978,
3,American Samoa,gini,GINI index,1978,
4,Andorra,gini,GINI index,1978,
5,Angola,gini,GINI index,1978,
6,Antigua and Barbuda,gini,GINI index,1978,
7,Argentina,gini,GINI index,1978,
8,Armenia,gini,GINI index,1978,
9,Aruba,gini,GINI index,1978,
10,Australia,gini,GINI index,1978,38.099998474121094
11,Austria,gini,GINI index,1978,
12,Azerbaijan,gini,GINI index,1978,
13,Bahamas,gini,GINI index,1978,
14,Bahrain,gini,GINI index,1978,
15,Bangladesh,gini,GINI index,1978,35.20000076293945
16,Barbados,gini,GINI index,1978,
17,Belarus,gini,GINI index,1978,
18,Belgium,gini,GINI index,1978,
19,Belize,gini,GINI index,1978,
20,Benin,gini,GINI index,1978,
21,Bermuda,gini,GINI index,1978,
22,Bhutan,gini,GINI index,1978,
23,Bolivia,gini,GINI index,1978,
24,Bosnia and Herzegovina,gini,GINI index,1978,
25,Botswana,gini,GINI index,1978,
26,Brazil,gini,GINI index,1978,56.0
27,Brunei,gini,GINI index,1978,
28,Bulgaria,gini,GINI index,1978,26.0
29,Burkina Faso,gini,GINI index,1978,
30,Burundi,gini,GINI index,1978,
31,Cambodia,gini,GINI index,1978,
32,Cameroon,gini,GINI index,1978,
33,Canada,gini,GINI index,1978,
34,Cape Verde,gini,GINI index,1978,
35,Cayman Islands,gini,GINI index,1978,
36,Central African Rep.,gini,GINI index,1978,
37,Chad,gini,GINI index,1978,
38,Channel Islands,gini,GINI index,1978,
39,Chile,gini,GINI index,1978,
40,China,gini,GINI index,1978,31.700000762939453
41,Colombia,gini,GINI index,1978,54.70000076293945
42,Comoros,gini,GINI index,1978,
43,Congo,gini,GINI index,1978, Dem. Rep.
44,Congo,gini,GINI index,1978, Rep.
45,Costa Rica,gini,GINI index,1978,
46,Cote d'Ivoire,gini,GINI index,1978,
47,Croatia,gini,GINI index,1978,
48,Cuba,gini,GINI index,1978,
49,Cyprus,gini,GINI index,1978,
50,Czech Rep.,gini,GINI index,1978,
51,Denmark,gini,GINI index,1978,40.099998474121094
52,Djibouti,gini,GINI index,1978,
53,Dominica,gini,GINI index,1978,
54,Dominican Rep.,gini,GINI index,1978,
55,East Asia & Pacific,gini,GINI index,1978,
56,Ecuador,gini,GINI index,1978,
57,Egypt,gini,GINI index,1978,
58,El Salvador,gini,GINI index,1978,
59,Equatorial Guinea,gini,GINI index,1978,
60,Eritrea,gini,GINI index,1978,
61,Estonia,gini,GINI index,1978,
62,Ethiopia,gini,GINI index,1978,
63,Euro area,gini,GINI index,1978,
64,Europe & Central Asia,gini,GINI index,1978,
65,Faeroe Islands,gini,GINI index,1978,
66,Fiji,gini,GINI index,1978,
67,Finland,gini,GINI index,1978,30.399999618530273
68,France,gini,GINI index,1978,
69,French Polynesia,gini,GINI index,1978,
70,Gabon,gini,GINI index,1978,
71,Gambia,gini,GINI index,1978,
72,Georgia,gini,GINI index,1978,
73,Germany,gini,GINI index,1978,
74,Ghana,gini,GINI index,1978,
75,Greece,gini,GINI index,1978,
76,Greenland,gini,GINI index,1978,
77,Grenada,gini,GINI index,1978,
78,Guam,gini,GINI index,1978,
79,Guatemala,gini,GINI index,1978,
80,Guinea,gini,GINI index,1978,
81,Guinea-Bissau,gini,GINI index,1978,
82,Guyana,gini,GINI index,1978,
83,Haiti,gini,GINI index,1978,
84,Heavily indebted poor countries (HIPC),gini,GINI index,1978,
85,High income,gini,GINI index,1978,
86,High income: nonOECD,gini,GINI index,1978,
87,High income: OECD,gini,GINI index,1978,
88,Honduras,gini,GINI index,1978,
89,Hong Kong,gini,GINI index,1978, China
90,Hungary,gini,GINI index,1978,
91,Iceland,gini,GINI index,1978,
92,India,gini,GINI index,1978,35.099998474121094
93,Indonesia,gini,GINI index,1978,
94,Iran,gini,GINI index,1978,
95,Iraq,gini,GINI index,1978,
96,Ireland,gini,GINI index,1978,
97,Isle of Man,gini,GINI index,1978,
98,Israel,gini,GINI index,1978,
99,Italy,gini,GINI index,1978,32.900001525878906
100,Jamaica,gini,GINI index,1978,
101,Japan,gini,GINI index,1978,32.900001525878906
102,Jordan,gini,GINI index,1978,
103,Kazakhstan,gini,GINI index,1978,
104,Kenya,gini,GINI index,1978,
105,Kiribati,gini,GINI index,1978,
106,Korea,gini,GINI index,1978, Dem. Rep.
107,Korea,gini,GINI index,1978, Rep.
108,Kuwait,gini,GINI index,1978,
109,Kyrgyzstan,gini,GINI index,1978,
110,Laos,gini,GINI index,1978,
111,Latin America & Caribbean,gini,GINI index,1978,
112,Latvia,gini,GINI index,1978,
113,Least developed countries: UN classification,gini,GINI index,1978,
114,Lebanon,gini,GINI index,1978,
115,Lesotho,gini,GINI index,1978,
116,Liberia,gini,GINI index,1978,
117,Libya,gini,GINI index,1978,
118,Liechtenstein,gini,GINI index,1978,
119,Lithuania,gini,GINI index,1978,
120,Low & middle income,gini,GINI index,1978,
121,Low income,gini,GINI index,1978,
122,Lower middle income,gini,GINI index,1978,
123,Luxembourg,gini,GINI index,1978,
124,Macao,gini,GINI index,1978, China
125,Macedonia,gini,GINI index,1978, FYR
126,Madagascar,gini,GINI index,1978,
127,Malawi,gini,GINI index,1978,
128,Malaysia,gini,GINI index,1978,
129,Maldives,gini,GINI index,1978,
130,Mali,gini,GINI index,1978,
131,Malta,gini,GINI index,1978,
132,Marshall Islands,gini,GINI index,1978,
133,Mauritania,gini,GINI index,1978,
134,Mauritius,gini,GINI index,1978,
135,Mayotte,gini,GINI index,1978,
136,Mexico,gini,GINI index,1978,
137,Micronesia,gini,GINI index,1978, Fed. Sts.
138,Middle East & North Africa,gini,GINI index,1978,
139,Middle income,gini,GINI index,1978,
140,Moldova,gini,GINI index,1978,
141,Monaco,gini,GINI index,1978,
142,Mongolia,gini,GINI index,1978,
143,Montenegro,gini,GINI index,1978,
144,Morocco,gini,GINI index,1978,
145,Mozambique,gini,GINI index,1978,
146,Myanmar,gini,GINI index,1978,
147,Namibia,gini,GINI index,1978,
148,Nepal,gini,GINI index,1978,
149,Netherlands,gini,GINI index,1978,
150,Netherlands Antilles,gini,GINI index,1978,
151,New Caledonia,gini,GINI index,1978,
152,New Zealand,gini,GINI index,1978,31.899999618530273
153,Nicaragua,gini,GINI index,1978,
