,Unnamed: 0,name,indicator,indicator2,year,value,region,predicted
0,0,Argentina,gini,GINI index,1979,38.499999364217125,Americas,True
1,1,Armenia,gini,GINI index,1979,26.899999618530273,Asia,True
2,2,Azerbaijan,gini,GINI index,1979,34.96,Asia,True
3,3,Benin,gini,GINI index,1979,38.62,Africa,True
4,4,Bhutan,gini,GINI index,1979,46.83,Asia,True
5,5,Bosnia and Herzegovina,gini,GINI index,1979,28.03,Europe,True
6,6,Botswana,gini,GINI index,1979,54.21,Africa,True
7,7,Brazil,gini,GINI index,1979,60.0,Americas,False
8,8,Bulgaria,gini,GINI index,1979,25.79999923706055,Europe,False
9,9,Burundi,gini,GINI index,1979,33.33,Africa,True
10,10,Cambodia,gini,GINI index,1979,38.28,Asia,True
11,11,Cameroon,gini,GINI index,1979,49.0,Africa,True
12,12,Canada,gini,GINI index,1979,31.0,Americas,False
13,13,Cape Verde,gini,GINI index,1979,50.52,,True
14,14,Central African Rep.,gini,GINI index,1979,61.29999923706055,Africa,True
15,15,Chile,gini,GINI index,1979,52.0,Americas,True
16,16,China,gini,GINI index,1979,30.83333396911621,Asia,True
17,17,Colombia,gini,GINI index,1979,56.915000381469724,Americas,True
18,18,Comoros,gini,GINI index,1979,44.099998474121094,Africa,True
19,19,Congo Dem. Rep.,gini,GINI index,1979,44.099998474121094,,True
20,20,Cote d'Ivoire,gini,GINI index,1979,41.21,,True
21,21,Croatia,gini,GINI index,1979,22.78,Europe,True
22,22,Czech Republic,gini,GINI index,1979,19.4,Europe,True
23,23,Denmark,gini,GINI index,1979,40.599998474121094,Europe,False
24,24,Djibouti,gini,GINI index,1979,39.0,Africa,True
25,25,Dominican Rep.,gini,GINI index,1979,44.362499713897705,Americas,True
26,26,Ecuador,gini,GINI index,1979,50.49,Americas,True
27,27,El Salvador,gini,GINI index,1979,48.49333460489908,Americas,True
28,28,Estonia,gini,GINI index,1979,22.97,Europe,True
29,29,Finland,gini,GINI index,1979,31.10000038146973,Europe,False
30,30,France,gini,GINI index,1979,33.09999847412109,Europe,False
31,31,Ghana,gini,GINI index,1979,35.35,Africa,True
32,32,Greece,gini,GINI index,1979,33.814284733363564,Europe,True
33,33,Guatemala,gini,GINI index,1979,40.70000076293945,Americas,False
34,34,Guinea,gini,GINI index,1979,47.15,Africa,True
35,35,Guyana,gini,GINI index,1979,51.9000015258789,Americas,True
36,36,Haiti,gini,GINI index,1979,59.5,Americas,True
37,37,Honduras,gini,GINI index,1979,57.099998474121094,Americas,True
38,38,India,gini,GINI index,1979,34.499998474121085,Asia,True
39,39,Indonesia,gini,GINI index,1979,37.099998474121094,Asia,True
40,40,Ireland,gini,GINI index,1979,36.05714362008231,Europe,True
41,41,Israel,gini,GINI index,1979,36.29999923706055,Asia,False
42,42,Jamaica,gini,GINI index,1979,44.08769230769231,Americas,True
43,43,Jordan,gini,GINI index,1979,29.399999618530273,Asia,True
44,44,Kazakhstan,gini,GINI index,1979,25.74,Asia,True
45,45,Kenya,gini,GINI index,1979,57.29999923706055,Africa,True
46,46,Lesotho,gini,GINI index,1979,61.0,Africa,True
47,47,Liberia,gini,GINI index,1979,52.56,Africa,True
48,48,Macedonia,gini,GINI index,1979,32.900001525878906,,True
49,49,Madagascar,gini,GINI index,1979,46.85,Africa,True
50,50,Malawi,gini,GINI index,1979,62.0,Africa,True
51,51,Mauritania,gini,GINI index,1979,43.94,Africa,True
52,52,Mexico,gini,GINI index,1979,48.93142857142857,Americas,True
53,53,Moldova,gini,GINI index,1979,24.14,,True
54,54,Mongolia,gini,GINI index,1979,33.2,Asia,True
55,55,Morocco,gini,GINI index,1979,39.19,Africa,True
56,56,Namibia,gini,GINI index,1979,74.33,Africa,True
57,57,Niger,gini,GINI index,1979,36.1,Africa,True
58,58,Norway,gini,GINI index,1979,26.79999923706055,Europe,False
59,59,Pakistan,gini,GINI index,1979,32.299999237060554,Asia,False
60,60,Panama,gini,GINI index,1979,48.74,Americas,False
61,61,Papua New Guinea,gini,GINI index,1979,32.59999847412109,Oceania,True
62,62,Philippines,gini,GINI index,1979,43.53600045776367,Asia,True
63,63,Poland,gini,GINI index,1979,24.5,Europe,False
64,64,Portugal,gini,GINI index,1979,37.34285627092634,Europe,True
65,65,Russia,gini,GINI index,1979,23.8,Europe,True
66,66,Rwanda,gini,GINI index,1979,28.899999618530273,Africa,True
67,67,Saint Lucia,gini,GINI index,1979,42.58,Americas,True
68,68,Senegal,gini,GINI index,1979,54.14,Africa,True
69,69,Sierra Leone,gini,GINI index,1979,62.9000015258789,Africa,True
70,70,Slovak Republic,gini,GINI index,1979,19.54,,True
